,日付,カテゴリーコード,カテゴリー名称,市場コード,市場名称,数量
0,2021/6/1,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,422937.6938
3,2021/6/2,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,344899.2199
6,2021/6/3,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,314780.37
9,2021/6/4,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,366673.2391
12,2021/6/5,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,426598.57
15,2021/6/6,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,409817.028
18,2021/6/7,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,402076.3253
21,2021/6/8,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,366386.885
24,2021/6/9,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,320829.2127
27,2021/6/10,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,332184.8325
30,2021/6/11,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,347861.8541
33,2021/6/12,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,387306.5682
36,2021/6/13,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,386138.2076
39,2021/6/14,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,384378.5853
42,2021/6/15,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,475546.0399
45,2021/6/16,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,323278.6459
48,2021/6/17,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,339795.3027
51,2021/6/18,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,330153.2418
54,2021/6/19,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,393289.8218
57,2021/6/20,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,380811.5567
60,2021/6/21,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,387538.8024
63,2021/6/22,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,377123.124
66,2021/6/23,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,319350.657
69,2021/6/24,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,325880.8031
72,2021/6/25,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,367733.8849
75,2021/6/26,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,374139.6645
78,2021/6/27,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,373609.8367
81,2021/6/28,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,386601.9282
84,2021/6/29,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,357119.2463
87,2021/6/30,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,317644.1497
90,2021/7/1,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,363257.3342
93,2021/7/2,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,372090.555
96,2021/7/3,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,386006.4473
99,2021/7/4,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,390199.3399
102,2021/7/5,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,383490.7898
105,2021/7/6,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,354188.8125
108,2021/7/7,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,314675.6824
111,2021/7/8,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,304815.5058
114,2021/7/9,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,329864.3988
117,2021/7/10,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,365072.8799
