,日付,カテゴリーコード,カテゴリー名称,市場コード,市場名称,数量
2,2021/06/01,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,188540.5514
5,2021/06/02,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,162260.6386
8,2021/06/03,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,145344.4371
11,2021/06/04,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,173411.6391
14,2021/06/05,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,212733.3246
17,2021/06/06,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,190391.7899
20,2021/06/07,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,180828.6387
23,2021/06/08,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,171271.9474
26,2021/06/09,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,157310.495
29,2021/06/10,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,162085.0359
32,2021/06/11,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,166133.9492
35,2021/06/12,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,200146.9969
38,2021/06/13,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,187218.5992
41,2021/06/14,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,176932.0805
44,2021/06/15,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,201454.1166
47,2021/06/16,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,151915.4307
50,2021/06/17,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,160734.5597
53,2021/06/18,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,157522.0668
56,2021/06/19,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,214260.0686
59,2021/06/20,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,190497.6657
62,2021/06/21,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,177525.8405
65,2021/06/22,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,170877.8122
68,2021/06/23,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,155699.5799
71,2021/06/24,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,158381.0058
74,2021/06/25,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,179306.132
