,日付,カテゴリーコード,カテゴリー名称,市場コード,市場名称,数量
1,2021/06/01,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,113653.2722
4,2021/06/02,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,80207.2356
7,2021/06/03,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,73055.7721
10,2021/06/04,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,85805.1144
13,2021/06/05,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,109638.7958
16,2021/06/06,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,99437.542
19,2021/06/07,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,92970.3835
22,2021/06/08,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,108710.643
25,2021/06/09,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,75790.1431
28,2021/06/10,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,81790.8956
31,2021/06/11,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,81432.1827
34,2021/06/12,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,103641.8298
37,2021/06/13,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,93280.9915
40,2021/06/14,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,87467.4552
43,2021/06/15,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,125840.8969
46,2021/06/16,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,73327.2123
49,2021/06/17,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,82865.4558
52,2021/06/18,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,75643.19
55,2021/06/19,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,104249.3517
58,2021/06/20,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,97387.5077
61,2021/06/21,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,88580.068
64,2021/06/22,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,105463.4668
67,2021/06/23,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,73359.6799
70,2021/06/24,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,77575.1082
73,2021/06/25,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,81050.074
76,2021/06/26,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,95894.1959
79,2021/06/27,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,93152.227
82,2021/06/28,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,88019.6056
85,2021/06/29,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,104942.4959
88,2021/06/30,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,72408.6557
91,2021/07/01,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,82272.177
94,2021/07/02,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,88117.6824
97,2021/07/03,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,95052.0589
100,2021/07/04,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,90755.8053
103,2021/07/05,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,84945.364
106,2021/07/06,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,101666.5557
109,2021/07/07,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,70587.5732
112,2021/07/08,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,71633.0033
115,2021/07/09,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,74168.8619
118,2021/07/10,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,89585.5531
121,2021/07/11,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,92094.2174
124,2021/07/12,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,86289.2668
127,2021/07/13,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,98082.228
130,2021/07/14,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,68298.911
133,2021/07/15,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,84738.6966
136,2021/07/16,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,70691.4484
139,2021/07/17,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,91092.7916
142,2021/07/18,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,86474.9697
145,2021/07/19,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,83131.1399
148,2021/07/20,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,96696.1247
151,2021/07/21,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,71924.8532
154,2021/07/22,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,78699.0103
157,2021/07/23,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,74653.4602
160,2021/07/24,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,86562.5792
163,2021/07/25,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,87600.6592
166,2021/07/26,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,85756.8943
169,2021/07/27,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,96047.5566
172,2021/07/28,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,71709.5734
175,2021/07/29,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,74580.2186
178,2021/07/30,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,68945.8137
181,2021/07/31,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,86669.0455
1,2021/08/01,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,92109.0442
4,2021/08/02,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,86013.5789
7,2021/08/03,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,95713.6727
10,2021/08/04,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,69455.687
13,2021/08/05,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,76102.8947
16,2021/08/06,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,73296.1208
19,2021/08/07,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,95778.7303
22,2021/08/08,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,87665.5344
25,2021/08/09,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,79378.2723
28,2021/08/10,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,99930.5763
31,2021/08/11,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,76099.1104
34,2021/08/12,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,90624.6314
37,2021/08/13,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,90921.6481
40,2021/08/14,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,81459.9998
43,2021/08/15,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,100334.2333
46,2021/08/16,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,87454.4933
49,2021/08/17,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,98692.6717
52,2021/08/18,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,83220.9643
55,2021/08/19,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,85309.5962
58,2021/08/20,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,80625.1012
61,2021/08/21,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,105226.2147
64,2021/08/22,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,89950.405
67,2021/08/23,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,94204.8768
70,2021/08/24,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,103532.909
73,2021/08/25,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,84555.8644
76,2021/08/26,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,82096.9842
79,2021/08/27,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,82511.6774
82,2021/08/28,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,104126.6154
85,2021/08/29,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,100034.0458
88,2021/08/30,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,91991.3258
91,2021/08/31,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,104924.8489
94,2021/09/01,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,89783.626
97,2021/09/02,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,79318.3321
100,2021/09/03,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,81974.2561
103,2021/09/04,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,105680.0786
