日付,カテゴリーコード,カテゴリー名称,市場コード,市場名称,数量
2021/06/01,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,422937.6938
2021/06/01,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,113653.2722
2021/06/01,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,188540.5514
2021/06/02,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,344899.2199
2021/06/02,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,80207.2356
2021/06/02,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,162260.6386
2021/06/03,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,314780.37
2021/06/03,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,73055.7721
2021/06/03,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,145344.4371
2021/06/04,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,366673.2391
2021/06/04,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,85805.1144
2021/06/04,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,173411.6391
2021/06/05,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,426598.57
2021/06/05,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,109638.7958
2021/06/05,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,212733.3246
2021/06/06,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,409817.028
2021/06/06,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,99437.542
2021/06/06,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,190391.7899
2021/06/07,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,402076.3253
2021/06/07,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,92970.3835
2021/06/07,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,180828.6387
2021/06/08,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,366386.885
2021/06/08,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,108710.643
2021/06/08,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,171271.9474
2021/06/09,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,320829.2127
2021/06/09,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,75790.1431
2021/06/09,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,157310.495
2021/06/10,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,332184.8325
2021/06/10,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,81790.8956
2021/06/10,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,162085.0359
2021/06/11,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,347861.8541
2021/06/11,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,81432.1827
2021/06/11,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,166133.9492
2021/06/12,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,387306.5682
2021/06/12,1-2--,生鮮食品,1008--009,RDS06 スーパー 08 九州,103641.8298
2021/06/12,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,200146.9969
2021/06/13,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,386138.2076
